ID,myVar
Tectona grandis,49.49
Tectona grandis,47.94
Tectona grandis,49.75
Terminalia paniculata,76.85
Terminalia paniculata,80.38
Terminalia paniculata,78.52
Bombax ceiba,79.58
Bombax ceiba,78.46
Bombax ceiba,76.07
Butea monosperma,97.71
Butea monosperma,93.14
Butea monosperma,97.52
Cassia fistula,73.58
Cassia fistula,74.31
Cassia fistula,74.31
Anogeissus latifolia,81.28
Anogeissus latifolia,81.57
Anogeissus latifolia,81.77
Pterocarpus marsupium,38.02
Pterocarpus marsupium,38.35
Pterocarpus marsupium,38.17
Grewia tilifolia,69.81
Grewia tilifolia,71.43
Grewia tilifolia,70.11
Terminalia catappa,87.39
Terminalia catappa,86.43
Terminalia catappa,84.03
Artocarpus heterophyllus,54.43
Artocarpus heterophyllus,55.98705502
Artocarpus heterophyllus,55.08982036
