Species,summer_poll,summer_con,monsoon_poll,monsoon_con
T.grandis,5.14,5.99,3.63,7.97
T.grandis,5.14,6.73,8.63,8.79
T.grandis,5.29,8.23,2.17,8.87
T. paniculata,3.39,8.4,3.45,17.1
T. paniculata,4.06,7.46,4.47,7.93
T. paniculata,3.77,9.2,3.56,9.58
G.tiliifolia,3.74,9.45,3.56,7.36
G.tiliifolia,3.92,5.7,3.09,4.75
G.tiliifolia,4.41,4.81,3.72,12.7
S. robusta,3.46,7.62,1.31,4.74
S. robusta,3.18,7.76,1.3,7.13
S. robusta,3.44,6,3.84,2.09
P.marsupium,4.11,7.93,3.36,5.23
P.marsupium,4.39,8.54,2.84,5.07
P.marsupium,3.68,11.4,2.87,7.92
M.latifolia,4.15,19.1,3.11,5.08
M.latifolia,4.31,9.34,8.16,6.32
M.latifolia,4.34,10.8,3.5,3.17
